id,state,Latitude,Longitude,Edu_1960,Edu_1970,Edu_1980,Edu_1990,Edu_2000,Edu_2010,Edu_2020
1,Alabama,32.806671,-86.79113,5.7,7.8,12.2,15.7,19,22,26.3
2,Alaska,61.370716,-152.404419,9.5,14.1,21.2,23.1,24.7,27.9,31.9
3,Arizona,33.729759,-111.431221,9.1,12.6,17.4,20.3,23.5,25.9,33
4,Arkansas,34.969704,-92.373123,4.8,6.7,10.8,13.3,16.7,19.5,24.9
5,California,36.116203,-119.681564,9.8,13.4,19.6,23.4,26.6,30.1,36.9
6,Colorado,39.059811,-105.311104,10.7,14.9,23,27,32.7,36.4,44.2
7,Connecticut,41.597782,-72.755371,9.5,13.7,20.7,27.2,31.4,35.5,42.4
8,Delaware,39.318523,-75.507141,10.1,13.1,17.5,21.4,25,27.8,34.7
9,District of Columbia,38.897438,-77.026817,14.3,17.8,27.5,33.3,39.1,50.1,63.6
10,Florida,27.766279,-81.686783,7.8,10.3,14.9,18.3,22.3,25.8,33.7
11,Georgia,33.040619,-83.643074,6.2,9.2,14.6,19.3,24.3,27.3,34.8
12,Hawaii,21.094318,-157.498337,9,14,20.3,22.9,26.2,29.5,35.5
13,Idaho,44.240459,-114.478828,7.2,10,15.8,17.7,21.7,24.4,30.9
14,Illinois,40.349457,-88.986137,7.3,10.3,16.2,21,26.1,30.8,37.6
15,Indiana,39.849426,-86.258278,6.3,8.3,12.5,15.6,19.4,22.7,28.9
16,Iowa,42.011539,-93.210526,6.4,9.1,13.9,16.9,21.2,24.9,29.5
17,Kansas,38.5266,-96.726486,8.2,11.4,17,21.1,25.8,29.8,35.1
18,Kentucky,37.66814,-84.670067,4.9,7.2,11.1,13.6,17.1,20.5,27.4
19,Louisiana,31.169546,-91.867805,6.7,9,13.9,16.1,18.7,21.4,27.2
20,Maine,44.693947,-69.381927,5.5,8.4,14.4,18.8,22.9,26.8,33.5
21,Maryland,39.063946,-76.802101,9.3,13.9,20.4,26.5,31.4,36.1,43.1
22,Massachusetts,42.230171,-71.530106,8.8,12.6,20,27.2,33.2,39,46.9
23,Michigan,43.326618,-84.536095,6.8,9.4,14.3,17.4,21.8,25.2,32.1
24,Minnesota,45.694454,-93.900192,7.5,11.1,17.4,21.8,27.4,31.8,37.9
25,Mississippi,32.741646,-89.678696,5.6,8.1,12.3,14.7,16.9,19.5,24.5
26,Missouri,38.456085,-92.288368,6.2,9,13.9,17.8,21.6,25.6,31.9
27,Montana,46.921925,-110.454353,7.5,11,17.5,19.8,24.4,28.8,34.6
28,Nebraska,41.12537,-98.268082,6.8,9.6,15.5,18.9,23.7,28.6,33.3
29,Nevada,38.313515,-117.055374,8.3,10.8,14.4,15.3,18.2,21.7,28
30,New Hampshire,43.452492,-71.563896,7.1,10.9,18.2,24.4,28.7,32.8,40.2
31,New Jersey,40.298904,-74.521011,8.4,11.8,18.3,24.9,29.8,35.4,43.1
32,New Mexico,34.840515,-106.248482,9.8,12.7,17.6,20.4,23.5,25,30.1
33,New York,42.165726,-74.948051,8.9,11.9,17.9,23.1,27.4,32.5,39.5
34,North Carolina,35.630066,-79.806419,6.3,8.5,13.2,17.4,22.5,26.5,34.8
35,North Dakota,47.528912,-99.784012,5.6,8.4,14.8,18.1,22,27.6,31.8
36,Ohio,40.388783,-82.764915,7,9.3,13.7,17,21.1,24.6,30.6
37,Oklahoma,35.565342,-96.928917,7.9,10,15.1,17.8,20.3,22.9,27
38,Oregon,44.572021,-122.070938,8.5,11.8,17.9,20.6,25.1,28.8,36.3
39,Pennsylvania,40.590752,-77.209755,6.4,8.7,13.6,17.9,22.4,27.1,34
40,Rhode Island,41.680893,-71.51178,6.6,9.4,15.4,21.3,25.6,30.2,38
41,South Carolina,33.856892,-80.945007,6.9,9,13.4,16.6,20.4,24.5,31.7
42,South Dakota,44.299782,-99.438828,5.7,8.6,14,17.2,21.5,26.3,28.4
43,Tennessee,35.747845,-86.692345,5.5,7.9,12.6,16,19.6,23.1,30.7
44,Texas,31.054487,-97.563461,8,10.9,16.9,20.3,23.2,25.9,33.2
45,Utah,40.150032,-111.862434,10.2,14,19.9,22.3,26.1,29.3,36.9
46,Vermont,44.045876,-72.710686,7.3,11.5,19,24.3,29.4,33.6,42.1
47,Virginia,37.769337,-78.169968,8.4,12.3,19.1,24.5,29.5,34.2,42
48,Washington,47.400902,-121.490494,9.3,12.7,19,22.9,27.7,31.1,38.4
49,West Virginia,38.491226,-80.954453,5.2,6.8,10.4,12.3,14.8,17.5,23.1
50,Wisconsin,44.268543,-89.616508,6.7,9.8,14.8,17.7,22.4,26.3,31.8
51,Wyoming,42.755966,-107.30249,8.7,11.8,17.2,18.8,21.9,24.1,28.2
